id,value,key,type
128188,fire_hydrant,emergency,regular
128188,lane,position,fire_hydrant
128188,pillar,type,fire_hydrant
128188,Amperverband,operator,regular
129095,Point,TMC:cid_58:tabcd_1:Class,regular
129095,positive,TMC:cid_58:tabcd_1:Direction,regular
129095,8.00,TMC:cid_58:tabcd_1:LCLversion,regular
129095,12817,TMC:cid_58:tabcd_1:LocationCode,regular
129095,12818,TMC:cid_58:tabcd_1:NextLocationCode,regular
129095,12816,TMC:cid_58:tabcd_1:PrevLocationCode,regular
129095,motorway_junction,highway,regular
129095,Oberschleißheim,name,regular
129095,2,ref,regular
130105,Point,TMC:cid_58:tabcd_1:Class,regular
130105,negative,TMC:cid_58:tabcd_1:Direction,regular
130105,12.0,TMC:cid_58:tabcd_1:LCLversion,regular
130105,12561,TMC:cid_58:tabcd_1:LocationCode,regular
130105,12562,TMC:cid_58:tabcd_1:NextLocationCode,regular
130105,8066,TMC:cid_58:tabcd_1:PrevLocationCode,regular
130105,motorway_junction,highway,regular
130105,Dachau/Fürstenfeldbruck,name,regular
130105,78,ref,regular
138592,Point,TMC:cid_58:tabcd_1:Class,regular
138592,both,TMC:cid_58:tabcd_1:Direction,regular
138592,8.00,TMC:cid_58:tabcd_1:LCLversion,regular
138592,46937,TMC:cid_58:tabcd_1:LocationCode,regular
138592,46938,TMC:cid_58:tabcd_1:NextLocationCode,regular
138592,traffic_signals,highway,regular
138592,DE:46937,tmc,regular
146706,speed_camera,highway,regular
146706,surveillance,man_made,regular
146706,public,surveillance,regular
265094,traffic_signals,highway,regular
265094,both,direction,traffic_signals
273186,Point,TMC:cid_58:tabcd_1:Class,regular
273186,negative,TMC:cid_58:tabcd_1:Direction,regular
273186,8.00,TMC:cid_58:tabcd_1:LCLversion,regular
273186,27468,TMC:cid_58:tabcd_1:LocationCode,regular
273186,27469,TMC:cid_58:tabcd_1:NextLocationCode,regular
273186,27467,TMC:cid_58:tabcd_1:PrevLocationCode,regular
295129,railway_crossing,railway,regular
